"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM1","1.6640127341289520798727593712800056411454498384120077936108023179109110802161043119859919847359303072967810835716058","1/49152 - SUSYc1XM2/12288 + SUSYc1XM4/3072 - SUSYc1XM6/768 + SUSYc1XM8/192 + (SUSYc1XM1*SUSYc2XM1)/12288 + (SUSYc1XM5*SUSYc2XM1)/768 - (SUSYc1XM7*SUSYc2XM1)/192 + (SUSYc1XM9*SUSYc2XM1)/48 - SUSYc2XM2/12288 + (SUSYc1XM2*SUSYc2XM2)/3072 - (SUSYc1XM4*SUSYc2XM2)/768 + (SUSYc1XM6*SUSYc2XM2)/192 - (SUSYc1XM8*SUSYc2XM2)/48 - (SUSYc1XM1*SUSYc2XM3)/3072 - (SUSYc1XM5*SUSYc2XM3)/192 + (SUSYc1XM7*SUSYc2XM3)/48 - (SUSYc1XM9*SUSYc2XM3)/12 + SUSYc2XM4/3072 - (SUSYc1XM2*SUSYc2XM4)/768 + (SUSYc1XM4*SUSYc2XM4)/192 - (SUSYc1XM6*SUSYc2XM4)/48 + (SUSYc1XM8*SUSYc2XM4)/12 + (SUSYc1XM1*SUSYc2XM5)/768 + (SUSYc1XM5*SUSYc2XM5)/48 - (SUSYc1XM7*SUSYc2XM5)/12 + (SUSYc1XM9*SUSYc2XM5)/3 - SUSYc2XM6/768 + (SUSYc1XM2*SUSYc2XM6)/192 - (SUSYc1XM4*SUSYc2XM6)/48 + (SUSYc1XM6*SUSYc2XM6)/12 - (SUSYc1XM8*SUSYc2XM6)/3","{SUSYc2XM1/12288 - SUSYc2XM3/3072 + SUSYc2XM5/768, -1/12288 + SUSYc2XM2/3072 - SUSYc2XM4/768 + SUSYc2XM6/192, 1/3072 - SUSYc2XM2/768 + SUSYc2XM4/192 - SUSYc2XM6/48, SUSYc2XM1/768 - SUSYc2XM3/192 + SUSYc2XM5/48, -1/768 + SUSYc2XM2/192 - SUSYc2XM4/48 + SUSYc2XM6/12, -1/192*SUSYc2XM1 + SUSYc2XM3/48 - SUSYc2XM5/12, 1/192 - SUSYc2XM2/48 + SUSYc2XM4/12 - SUSYc2XM6/3, SUSYc2XM1/48 - SUSYc2XM3/12 + SUSYc2XM5/3, SUSYc1XM1/12288 + SUSYc1XM5/768 - SUSYc1XM7/192 + SUSYc1XM9/48, -1/12288 + SUSYc1XM2/3072 - SUSYc1XM4/768 + SUSYc1XM6/192 - SUSYc1XM8/48, -1/3072*SUSYc1XM1 - SUSYc1XM5/192 + SUSYc1XM7/48 - SUSYc1XM9/12, 1/3072 - SUSYc1XM2/768 + SUSYc1XM4/192 - SUSYc1XM6/48 + SUSYc1XM8/12, SUSYc1XM1/768 + SUSYc1XM5/48 - SUSYc1XM7/12 + SUSYc1XM9/3, -1/768 + SUSYc1XM2/192 - SUSYc1XM4/48 + SUSYc1XM6/12 - SUSYc1XM8/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM2","7.2381130485219324650417111193527344172745149768251224321678669247954557272997938562495221451307291310814810115635824","-1/6144*SUSYc1XM1 + SUSYc1XM5/384 - SUSYc1XM7/48 + SUSYc1XM9/8 + SUSYc2XM1/3072 - (SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM6*SUSYc2XM1)/96 - (SUSYc1XM8*SUSYc2XM1)/12 + (SUSYc1XM1*SUSYc2XM2)/768 + (SUSYc1XM7*SUSYc2XM2)/24 - (SUSYc1XM9*SUSYc2XM2)/3 - SUSYc2XM3/512 + (SUSYc1XM2*SUSYc2XM3)/192 - (SUSYc1XM4*SUSYc2XM3)/96 + (SUSYc1XM8*SUSYc2XM3)/6 - (SUSYc1XM1*SUSYc2XM4)/128 - (SUSYc1XM5*SUSYc2XM4)/24 + (2*SUSYc1XM9*SUSYc2XM4)/3 + SUSYc2XM5/96 - (SUSYc1XM2*SUSYc2XM5)/32 + (SUSYc1XM4*SUSYc2XM5)/12 - (SUSYc1XM6*SUSYc2XM5)/6 + (SUSYc1XM1*SUSYc2XM6)/24 + (SUSYc1XM5*SUSYc2XM6)/3 - (2*SUSYc1XM7*SUSYc2XM6)/3","{-1/6144 + SUSYc2XM2/768 - SUSYc2XM4/128 + SUSYc2XM6/24, -1/1536*SUSYc2XM1 + SUSYc2XM3/192 - SUSYc2XM5/32, -1/96*SUSYc2XM3 + SUSYc2XM5/12, 1/384 - SUSYc2XM4/24 + SUSYc2XM6/3, SUSYc2XM1/96 - SUSYc2XM5/6, -1/48 + SUSYc2XM2/24 - (2*SUSYc2XM6)/3, -1/12*SUSYc2XM1 + SUSYc2XM3/6, 1/8 - SUSYc2XM2/3 + (2*SUSYc2XM4)/3, 1/3072 - SUSYc1XM2/1536 + SUSYc1XM6/96 - SUSYc1XM8/12, SUSYc1XM1/768 + SUSYc1XM7/24 - SUSYc1XM9/3, -1/512 + SUSYc1XM2/192 - SUSYc1XM4/96 + SUSYc1XM8/6, -1/128*SUSYc1XM1 - SUSYc1XM5/24 + (2*SUSYc1XM9)/3, 1/96 - SUSYc1XM2/32 + SUSYc1XM4/12 - SUSYc1XM6/6, SUSYc1XM1/24 + SUSYc1XM5/3 - (2*SUSYc1XM7)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM4","3368.0277027419917503820317537261850384190908592692402763128993694515606859026388581764629220217855694994525521816825981","1/4096 - SUSYc1XM2/512 + (5*SUSYc1XM4)/768 - (3*SUSYc1XM8)/16 + (SUSYc1XM1*SUSYc2XM1)/1536 + (SUSYc1XM5*SUSYc2XM1)/48 + (SUSYc1XM7*SUSYc2XM1)/48 - (5*SUSYc1XM9*SUSYc2XM1)/6 + SUSYc2XM2/512 + (SUSYc1XM2*SUSYc2XM2)/768 - (SUSYc1XM4*SUSYc2XM2)/48 + (SUSYc1XM6*SUSYc2XM2)/16 + (SUSYc1XM8*SUSYc2XM2)/6 + (7*SUSYc1XM1*SUSYc2XM3)/768 - (SUSYc1XM5*SUSYc2XM3)/16 + (SUSYc1XM7*SUSYc2XM3)/6 + SUSYc1XM9*SUSYc2XM3 - (19*SUSYc2XM4)/768 + (SUSYc1XM2*SUSYc2XM4)/24 - (SUSYc1XM4*SUSYc2XM4)/48 - (SUSYc1XM6*SUSYc2XM4)/6 + (SUSYc1XM8*SUSYc2XM4)/3 - (5*SUSYc1XM1*SUSYc2XM5)/48 - (SUSYc1XM5*SUSYc2XM5)/6 - (SUSYc1XM7*SUSYc2XM5)/3 + (3*SUSYc2XM6)/16 - (7*SUSYc1XM2*SUSYc2XM6)/16 + (5*SUSYc1XM4*SUSYc2XM6)/6 - SUSYc1XM6*SUSYc2XM6","{SUSYc2XM1/1536 + (7*SUSYc2XM3)/768 - (5*SUSYc2XM5)/48, -1/512 + SUSYc2XM2/768 + SUSYc2XM4/24 - (7*SUSYc2XM6)/16, 5/768 - SUSYc2XM2/48 - SUSYc2XM4/48 + (5*SUSYc2XM6)/6, SUSYc2XM1/48 - SUSYc2XM3/16 - SUSYc2XM5/6, SUSYc2XM2/16 - SUSYc2XM4/6 - SUSYc2XM6, SUSYc2XM1/48 + SUSYc2XM3/6 - SUSYc2XM5/3, -3/16 + SUSYc2XM2/6 + SUSYc2XM4/3, (-5*SUSYc2XM1)/6 + SUSYc2XM3, SUSYc1XM1/1536 + SUSYc1XM5/48 + SUSYc1XM7/48 - (5*SUSYc1XM9)/6, 1/512 + SUSYc1XM2/768 - SUSYc1XM4/48 + SUSYc1XM6/16 + SUSYc1XM8/6, (7*SUSYc1XM1)/768 - SUSYc1XM5/16 + SUSYc1XM7/6 + SUSYc1XM9, -19/768 + SUSYc1XM2/24 - SUSYc1XM4/48 - SUSYc1XM6/6 + SUSYc1XM8/3, (-5*SUSYc1XM1)/48 - SUSYc1XM5/6 - SUSYc1XM7/3, 3/16 - (7*SUSYc1XM2)/16 + (5*SUSYc1XM4)/6 - SUSYc1XM6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM5","-3310.6292676822312457761741765859522345382144367193236526085455202444456764914668200853124059470632719926717160597215857","-1/256*SUSYc1XM1 + SUSYc1XM5/24 - SUSYc1XM7/12 - (5*SUSYc1XM9)/3 + SUSYc2XM1/192 - (5*SUSYc1XM2*SUSYc2XM1)/384 + (SUSYc1XM6*SUSYc2XM1)/8 + (SUSYc1XM1*SUSYc2XM2)/64 + (SUSYc1XM7*SUSYc2XM2)/3 + (4*SUSYc1XM9*SUSYc2XM2)/3 + SUSYc2XM3/384 + (SUSYc1XM2*SUSYc2XM3)/24 - (SUSYc1XM4*SUSYc2XM3)/8 + (2*SUSYc1XM8*SUSYc2XM3)/3 + (SUSYc1XM1*SUSYc2XM4)/24 - (SUSYc1XM5*SUSYc2XM4)/3 - SUSYc2XM5/4 + (7*SUSYc1XM2*SUSYc2XM5)/24 - (2*SUSYc1XM6*SUSYc2XM5)/3 - (7*SUSYc1XM1*SUSYc2XM6)/6 - (4*SUSYc1XM5*SUSYc2XM6)/3","{-1/256 + SUSYc2XM2/64 + SUSYc2XM4/24 - (7*SUSYc2XM6)/6, (-5*SUSYc2XM1)/384 + SUSYc2XM3/24 + (7*SUSYc2XM5)/24, -1/8*SUSYc2XM3, 1/24 - SUSYc2XM4/3 - (4*SUSYc2XM6)/3, SUSYc2XM1/8 - (2*SUSYc2XM5)/3, -1/12 + SUSYc2XM2/3, (2*SUSYc2XM3)/3, -5/3 + (4*SUSYc2XM2)/3, 1/192 - (5*SUSYc1XM2)/384 + SUSYc1XM6/8, SUSYc1XM1/64 + SUSYc1XM7/3 + (4*SUSYc1XM9)/3, 1/384 + SUSYc1XM2/24 - SUSYc1XM4/8 + (2*SUSYc1XM8)/3, SUSYc1XM1/24 - SUSYc1XM5/3, -1/4 + (7*SUSYc1XM2)/24 - (2*SUSYc1XM6)/3, (-7*SUSYc1XM1)/6 - (4*SUSYc1XM5)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM6","-6608.338492860171445790000929696183432578713993857124785980194451445165466923488983002132314641116152559941597348606816","-1/1024 - (5*SUSYc1XM2)/256 + (5*SUSYc1XM4)/96 + SUSYc1XM6/8 - (5*SUSYc1XM8)/12 - (5*SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM5*SUSYc2XM1)/8 + (5*SUSYc1XM7*SUSYc2XM1)/12 + (5*SUSYc1XM9*SUSYc2XM1)/3 + (29*SUSYc2XM2)/768 - (SUSYc1XM2*SUSYc2XM2)/32 - (SUSYc1XM4*SUSYc2XM2)/8 + (SUSYc1XM6*SUSYc2XM2)/4 + SUSYc1XM8*SUSYc2XM2 + (11*SUSYc1XM1*SUSYc2XM3)/96 - (SUSYc1XM5*SUSYc2XM3)/4 + (SUSYc1XM7*SUSYc2XM3)/3 - SUSYc2XM4/32 + (7*SUSYc1XM2*SUSYc2XM4)/24 - (5*SUSYc1XM4*SUSYc2XM4)/12 - (SUSYc1XM6*SUSYc2XM4)/3 + (7*SUSYc1XM1*SUSYc2XM5)/24 - SUSYc1XM5*SUSYc2XM5 - (21*SUSYc2XM6)/8 + (35*SUSYc1XM2*SUSYc2XM6)/12 - (5*SUSYc1XM4*SUSYc2XM6)/3","{(-5*SUSYc2XM1)/768 + (11*SUSYc2XM3)/96 + (7*SUSYc2XM5)/24, -5/256 - SUSYc2XM2/32 + (7*SUSYc2XM4)/24 + (35*SUSYc2XM6)/12, 5/96 - SUSYc2XM2/8 - (5*SUSYc2XM4)/12 - (5*SUSYc2XM6)/3, SUSYc2XM1/8 - SUSYc2XM3/4 - SUSYc2XM5, 1/8 + SUSYc2XM2/4 - SUSYc2XM4/3, (5*SUSYc2XM1)/12 + SUSYc2XM3/3, -5/12 + SUSYc2XM2, (5*SUSYc2XM1)/3, (-5*SUSYc1XM1)/768 + SUSYc1XM5/8 + (5*SUSYc1XM7)/12 + (5*SUSYc1XM9)/3, 29/768 - SUSYc1XM2/32 - SUSYc1XM4/8 + SUSYc1XM6/4 + SUSYc1XM8, (11*SUSYc1XM1)/96 - SUSYc1XM5/4 + SUSYc1XM7/3, -1/32 + (7*SUSYc1XM2)/24 - (5*SUSYc1XM4)/12 - SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5, -21/8 + (35*SUSYc1XM2)/12 - (5*SUSYc1XM4)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM7","12319.3375101004750804368062236883898829668257995908419102745475223475039516653019237179202083590313825410014090202285942","(-5*SUSYc1XM1)/128 + SUSYc1XM5/4 + SUSYc1XM7/3 + 2*SUSYc1XM9 + (5*SUSYc2XM1)/192 - (5*SUSYc1XM2*SUSYc2XM1)/48 + (SUSYc1XM6*SUSYc2XM1)/2 + (4*SUSYc1XM8*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/24 + (2*SUSYc1XM7*SUSYc2XM2)/3 + (3*SUSYc2XM3)/16 - (SUSYc1XM4*SUSYc2XM3)/2 + (7*SUSYc1XM1*SUSYc2XM4)/12 - (2*SUSYc1XM5*SUSYc2XM4)/3 + (7*SUSYc1XM2*SUSYc2XM5)/6 - (4*SUSYc1XM4*SUSYc2XM5)/3 + (14*SUSYc1XM1*SUSYc2XM6)/3","{-5/128 + SUSYc2XM2/24 + (7*SUSYc2XM4)/12 + (14*SUSYc2XM6)/3, (-5*SUSYc2XM1)/48 + (7*SUSYc2XM5)/6, -1/2*SUSYc2XM3 - (4*SUSYc2XM5)/3, 1/4 - (2*SUSYc2XM4)/3, SUSYc2XM1/2, 1/3 + (2*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2, 5/192 - (5*SUSYc1XM2)/48 + SUSYc1XM6/2 + (4*SUSYc1XM8)/3, SUSYc1XM1/24 + (2*SUSYc1XM7)/3, 3/16 - SUSYc1XM4/2, (7*SUSYc1XM1)/12 - (2*SUSYc1XM5)/3, (7*SUSYc1XM2)/6 - (4*SUSYc1XM4)/3, (14*SUSYc1XM1)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM8","9544.7383154007834936942057432946805261651665380154773736504007728120554380047037018011178085819543701810451371696984724","-25/768 - (5*SUSYc1XM2)/48 + (5*SUSYc1XM4)/24 + (2*SUSYc1XM6)/3 + (5*SUSYc1XM8)/3 - (5*SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM5*SUSYc2XM1)/3 + SUSYc1XM7*SUSYc2XM1 + (3*SUSYc2XM2)/16 - (7*SUSYc1XM2*SUSYc2XM2)/24 - (SUSYc1XM4*SUSYc2XM2)/3 + (SUSYc1XM6*SUSYc2XM2)/3 + (7*SUSYc1XM1*SUSYc2XM3)/24 - (SUSYc1XM5*SUSYc2XM3)/3 + (7*SUSYc2XM4)/8 - SUSYc1XM4*SUSYc2XM4 + (7*SUSYc1XM1*SUSYc2XM5)/3 + 7*SUSYc2XM6 - (7*SUSYc1XM2*SUSYc2XM6)/3","{(-5*SUSYc2XM1)/48 + (7*SUSYc2XM3)/24 + (7*SUSYc2XM5)/3, -5/48 - (7*SUSYc2XM2)/24 - (7*SUSYc2XM6)/3, 5/24 - SUSYc2XM2/3 - SUSYc2XM4, SUSYc2XM1/3 - SUSYc2XM3/3, 2/3 + SUSYc2XM2/3, SUSYc2XM1, 5/3, 0, (-5*SUSYc1XM1)/48 + SUSYc1XM5/3 + SUSYc1XM7, 3/16 - (7*SUSYc1XM2)/24 - SUSYc1XM4/3 + SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5/3, 7/8 - SUSYc1XM4, (7*SUSYc1XM1)/3, 7 - (7*SUSYc1XM2)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM9","-19784.9772723229108299303539961829771967930320044684992030000184020827886776814100057712365761356933509953359130606782509","(-5*SUSYc1XM1)/24 + (2*SUSYc1XM5)/3 + (4*SUSYc1XM7)/3 - (5*SUSYc1XM2*SUSYc2XM1)/12 + (2*SUSYc1XM6*SUSYc2XM1)/3 - (SUSYc1XM1*SUSYc2XM2)/6 + (3*SUSYc2XM3)/4 - (2*SUSYc1XM2*SUSYc2XM3)/3 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (2*SUSYc1XM1*SUSYc2XM4)/3 + 4*SUSYc2XM5 - 2*SUSYc1XM2*SUSYc2XM5 - (8*SUSYc1XM1*SUSYc2XM6)/3","{-5/24 - SUSYc2XM2/6 + (2*SUSYc2XM4)/3 - (8*SUSYc2XM6)/3, (-5*SUSYc2XM1)/12 - (2*SUSYc2XM3)/3 - 2*SUSYc2XM5, (-2*SUSYc2XM3)/3, 2/3, (2*SUSYc2XM1)/3, 4/3, 0, 0, (-5*SUSYc1XM2)/12 + (2*SUSYc1XM6)/3, -1/6*SUSYc1XM1, 3/4 - (2*SUSYc1XM2)/3 - (2*SUSYc1XM4)/3, (2*SUSYc1XM1)/3, 4 - 2*SUSYc1XM2, (-8*SUSYc1XM1)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc2XM1","-375.8320063670644760399363796856400028205727249192060038968054011589554555401080521559929959923679651536483905417858029","-15/64 - (5*SUSYc1XM2)/16 + (5*SUSYc1XM4)/12 + SUSYc1XM6 - (25*SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM5*SUSYc2XM1)/3 + (3*SUSYc2XM2)/16 - (11*SUSYc1XM2*SUSYc2XM2)/12 - (SUSYc1XM4*SUSYc2XM2)/3 - (5*SUSYc1XM1*SUSYc2XM3)/12 + (7*SUSYc2XM4)/4 - (5*SUSYc1XM2*SUSYc2XM4)/3 - (7*SUSYc1XM1*SUSYc2XM5)/3 - 3*SUSYc2XM6","{(-25*SUSYc2XM1)/48 - (5*SUSYc2XM3)/12 - (7*SUSYc2XM5)/3, -5/16 - (11*SUSYc2XM2)/12 - (5*SUSYc2XM4)/3, 5/12 - SUSYc2XM2/3, SUSYc2XM1/3, 1, 0, 0, 0, (-25*SUSYc1XM1)/48 + SUSYc1XM5/3, 3/16 - (11*SUSYc1XM2)/12 - SUSYc1XM4/3, (-5*SUSYc1XM1)/12, 7/4 - (5*SUSYc1XM2)/3, (-7*SUSYc1XM1)/3, -3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc2XM2","372.9359240831128246469579389219184334879105148208838044997434386213150664835562698912828713550051044966503236448423792","(-5*SUSYc1XM1)/8 + (2*SUSYc1XM5)/3 - (5*SUSYc2XM1)/12 - (5*SUSYc1XM2*SUSYc2XM1)/6 - SUSYc1XM1*SUSYc2XM2 + SUSYc2XM3/6 - (4*SUSYc1XM2*SUSYc2XM3)/3 - 2*SUSYc1XM1*SUSYc2XM4 - (8*SUSYc2XM5)/3","{-5/8 - SUSYc2XM2 - 2*SUSYc2XM4, (-5*SUSYc2XM1)/6 - (4*SUSYc2XM3)/3, 0, 2/3, 0, 0, 0, 0, -5/12 - (5*SUSYc1XM2)/6, -SUSYc1XM1, 1/6 - (4*SUSYc1XM2)/3, -2*SUSYc1XM1, -8/3, 0}"
