"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM1","-746.7830272644721483394264287852116658468769044304236900288889056115653757132926923533325465182424639003412076042273013","1/196608 - SUSYc1XM10/192 - SUSYc1XM2/49152 + SUSYc1XM4/12288 - SUSYc1XM6/3072 + SUSYc1XM8/768 + (SUSYc1XM1*SUSYc2XM1)/49152 + (SUSYc1XM5*SUSYc2XM1)/3072 - (SUSYc1XM7*SUSYc2XM1)/768 + (SUSYc1XM9*SUSYc2XM1)/192 - SUSYc2XM2/49152 + (SUSYc1XM10*SUSYc2XM2)/48 + (SUSYc1XM2*SUSYc2XM2)/12288 - (SUSYc1XM4*SUSYc2XM2)/3072 + (SUSYc1XM6*SUSYc2XM2)/768 - (SUSYc1XM8*SUSYc2XM2)/192 - (SUSYc1XM1*SUSYc2XM3)/12288 - (SUSYc1XM5*SUSYc2XM3)/768 + (SUSYc1XM7*SUSYc2XM3)/192 - (SUSYc1XM9*SUSYc2XM3)/48 + SUSYc2XM4/12288 - (SUSYc1XM10*SUSYc2XM4)/12 - (SUSYc1XM2*SUSYc2XM4)/3072 + (SUSYc1XM4*SUSYc2XM4)/768 - (SUSYc1XM6*SUSYc2XM4)/192 + (SUSYc1XM8*SUSYc2XM4)/48 + (SUSYc1XM1*SUSYc2XM5)/3072 + (SUSYc1XM5*SUSYc2XM5)/192 - (SUSYc1XM7*SUSYc2XM5)/48 + (SUSYc1XM9*SUSYc2XM5)/12 - SUSYc2XM6/3072 + (SUSYc1XM10*SUSYc2XM6)/3 + (SUSYc1XM2*SUSYc2XM6)/768 - (SUSYc1XM4*SUSYc2XM6)/192 + (SUSYc1XM6*SUSYc2XM6)/48 - (SUSYc1XM8*SUSYc2XM6)/12 - (SUSYc1XM1*SUSYc2XM7)/768 - (SUSYc1XM5*SUSYc2XM7)/48 + (SUSYc1XM7*SUSYc2XM7)/12 - (SUSYc1XM9*SUSYc2XM7)/3","{SUSYc2XM1/49152 - SUSYc2XM3/12288 + SUSYc2XM5/3072 - SUSYc2XM7/768, -1/49152 + SUSYc2XM2/12288 - SUSYc2XM4/3072 + SUSYc2XM6/768, 1/12288 - SUSYc2XM2/3072 + SUSYc2XM4/768 - SUSYc2XM6/192, SUSYc2XM1/3072 - SUSYc2XM3/768 + SUSYc2XM5/192 - SUSYc2XM7/48, -1/3072 + SUSYc2XM2/768 - SUSYc2XM4/192 + SUSYc2XM6/48, -1/768*SUSYc2XM1 + SUSYc2XM3/192 - SUSYc2XM5/48 + SUSYc2XM7/12, 1/768 - SUSYc2XM2/192 + SUSYc2XM4/48 - SUSYc2XM6/12, SUSYc2XM1/192 - SUSYc2XM3/48 + SUSYc2XM5/12 - SUSYc2XM7/3, -1/192 + SUSYc2XM2/48 - SUSYc2XM4/12 + SUSYc2XM6/3, SUSYc1XM1/49152 + SUSYc1XM5/3072 - SUSYc1XM7/768 + SUSYc1XM9/192, -1/49152 + SUSYc1XM10/48 + SUSYc1XM2/12288 - SUSYc1XM4/3072 + SUSYc1XM6/768 - SUSYc1XM8/192, -1/12288*SUSYc1XM1 - SUSYc1XM5/768 + SUSYc1XM7/192 - SUSYc1XM9/48, 1/12288 - SUSYc1XM10/12 - SUSYc1XM2/3072 + SUSYc1XM4/768 - SUSYc1XM6/192 + SUSYc1XM8/48, SUSYc1XM1/3072 + SUSYc1XM5/192 - SUSYc1XM7/48 + SUSYc1XM9/12, -1/3072 + SUSYc1XM10/3 + SUSYc1XM2/768 - SUSYc1XM4/192 + SUSYc1XM6/48 - SUSYc1XM8/12, -1/768*SUSYc1XM1 - SUSYc1XM5/48 + SUSYc1XM7/12 - SUSYc1XM9/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM2","-3623.743093135841911916338154839918516012896042046227930724259285487832614657481744603637028891038455309087606648798262","-1/24576*SUSYc1XM1 + SUSYc1XM5/1536 - SUSYc1XM7/192 + SUSYc1XM9/32 + SUSYc2XM1/12288 + (SUSYc1XM10*SUSYc2XM1)/8 - (SUSYc1XM2*SUSYc2XM1)/6144 + (SUSYc1XM6*SUSYc2XM1)/384 - (SUSYc1XM8*SUSYc2XM1)/48 + (SUSYc1XM1*SUSYc2XM2)/3072 + (SUSYc1XM7*SUSYc2XM2)/96 - (SUSYc1XM9*SUSYc2XM2)/12 - SUSYc2XM3/2048 - (SUSYc1XM10*SUSYc2XM3)/3 + (SUSYc1XM2*SUSYc2XM3)/768 - (SUSYc1XM4*SUSYc2XM3)/384 + (SUSYc1XM8*SUSYc2XM3)/24 - (SUSYc1XM1*SUSYc2XM4)/512 - (SUSYc1XM5*SUSYc2XM4)/96 + (SUSYc1XM9*SUSYc2XM4)/6 + SUSYc2XM5/384 + (2*SUSYc1XM10*SUSYc2XM5)/3 - (SUSYc1XM2*SUSYc2XM5)/128 + (SUSYc1XM4*SUSYc2XM5)/48 - (SUSYc1XM6*SUSYc2XM5)/24 + (SUSYc1XM1*SUSYc2XM6)/96 + (SUSYc1XM5*SUSYc2XM6)/12 - (SUSYc1XM7*SUSYc2XM6)/6 - (5*SUSYc2XM7)/384 + (SUSYc1XM2*SUSYc2XM7)/24 - (SUSYc1XM4*SUSYc2XM7)/8 + (SUSYc1XM6*SUSYc2XM7)/3 - (2*SUSYc1XM8*SUSYc2XM7)/3","{-1/24576 + SUSYc2XM2/3072 - SUSYc2XM4/512 + SUSYc2XM6/96, -1/6144*SUSYc2XM1 + SUSYc2XM3/768 - SUSYc2XM5/128 + SUSYc2XM7/24, -1/384*SUSYc2XM3 + SUSYc2XM5/48 - SUSYc2XM7/8, 1/1536 - SUSYc2XM4/96 + SUSYc2XM6/12, SUSYc2XM1/384 - SUSYc2XM5/24 + SUSYc2XM7/3, -1/192 + SUSYc2XM2/96 - SUSYc2XM6/6, -1/48*SUSYc2XM1 + SUSYc2XM3/24 - (2*SUSYc2XM7)/3, 1/32 - SUSYc2XM2/12 + SUSYc2XM4/6, SUSYc2XM1/8 - SUSYc2XM3/3 + (2*SUSYc2XM5)/3, 1/12288 + SUSYc1XM10/8 - SUSYc1XM2/6144 + SUSYc1XM6/384 - SUSYc1XM8/48, SUSYc1XM1/3072 + SUSYc1XM7/96 - SUSYc1XM9/12, -1/2048 - SUSYc1XM10/3 + SUSYc1XM2/768 - SUSYc1XM4/384 + SUSYc1XM8/24, -1/512*SUSYc1XM1 - SUSYc1XM5/96 + SUSYc1XM9/6, 1/384 + (2*SUSYc1XM10)/3 - SUSYc1XM2/128 + SUSYc1XM4/48 - SUSYc1XM6/24, SUSYc1XM1/96 + SUSYc1XM5/12 - SUSYc1XM7/6, -5/384 + SUSYc1XM2/24 - SUSYc1XM4/8 + SUSYc1XM6/3 - (2*SUSYc1XM8)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM4","-52014.9600767354530841052400045700647992551756491965305239863817881262752674824137965095464945937572177717603449856888103","1/12288 + (7*SUSYc1XM10)/16 - (7*SUSYc1XM2)/12288 + SUSYc1XM4/512 - SUSYc1XM6/768 - SUSYc1XM8/24 + (SUSYc1XM1*SUSYc2XM1)/4096 + (5*SUSYc1XM5*SUSYc2XM1)/768 - (3*SUSYc1XM9*SUSYc2XM1)/16 + (5*SUSYc2XM2)/12288 - (5*SUSYc1XM10*SUSYc2XM2)/6 + (SUSYc1XM2*SUSYc2XM2)/1536 - (5*SUSYc1XM4*SUSYc2XM2)/768 + (SUSYc1XM6*SUSYc2XM2)/48 + (SUSYc1XM8*SUSYc2XM2)/48 + (SUSYc1XM1*SUSYc2XM3)/512 - (SUSYc1XM5*SUSYc2XM3)/48 + (SUSYc1XM7*SUSYc2XM3)/16 + (SUSYc1XM9*SUSYc2XM3)/6 - (3*SUSYc2XM4)/512 + SUSYc1XM10*SUSYc2XM4 + (7*SUSYc1XM2*SUSYc2XM4)/768 - (SUSYc1XM6*SUSYc2XM4)/16 + (SUSYc1XM8*SUSYc2XM4)/6 - (19*SUSYc1XM1*SUSYc2XM5)/768 - (SUSYc1XM5*SUSYc2XM5)/48 - (SUSYc1XM7*SUSYc2XM5)/6 + (SUSYc1XM9*SUSYc2XM5)/3 + (35*SUSYc2XM6)/768 - (5*SUSYc1XM2*SUSYc2XM6)/48 + (3*SUSYc1XM4*SUSYc2XM6)/16 - (SUSYc1XM6*SUSYc2XM6)/6 - (SUSYc1XM8*SUSYc2XM6)/3 + (3*SUSYc1XM1*SUSYc2XM7)/16 + (5*SUSYc1XM5*SUSYc2XM7)/6 - SUSYc1XM7*SUSYc2XM7","{SUSYc2XM1/4096 + SUSYc2XM3/512 - (19*SUSYc2XM5)/768 + (3*SUSYc2XM7)/16, -7/12288 + SUSYc2XM2/1536 + (7*SUSYc2XM4)/768 - (5*SUSYc2XM6)/48, 1/512 - (5*SUSYc2XM2)/768 + (3*SUSYc2XM6)/16, (5*SUSYc2XM1)/768 - SUSYc2XM3/48 - SUSYc2XM5/48 + (5*SUSYc2XM7)/6, -1/768 + SUSYc2XM2/48 - SUSYc2XM4/16 - SUSYc2XM6/6, SUSYc2XM3/16 - SUSYc2XM5/6 - SUSYc2XM7, -1/24 + SUSYc2XM2/48 + SUSYc2XM4/6 - SUSYc2XM6/3, (-3*SUSYc2XM1)/16 + SUSYc2XM3/6 + SUSYc2XM5/3, 7/16 - (5*SUSYc2XM2)/6 + SUSYc2XM4, SUSYc1XM1/4096 + (5*SUSYc1XM5)/768 - (3*SUSYc1XM9)/16, 5/12288 - (5*SUSYc1XM10)/6 + SUSYc1XM2/1536 - (5*SUSYc1XM4)/768 + SUSYc1XM6/48 + SUSYc1XM8/48, SUSYc1XM1/512 - SUSYc1XM5/48 + SUSYc1XM7/16 + SUSYc1XM9/6, -3/512 + SUSYc1XM10 + (7*SUSYc1XM2)/768 - SUSYc1XM6/16 + SUSYc1XM8/6, (-19*SUSYc1XM1)/768 - SUSYc1XM5/48 - SUSYc1XM7/6 + SUSYc1XM9/3, 35/768 - (5*SUSYc1XM2)/48 + (3*SUSYc1XM4)/16 - SUSYc1XM6/6 - SUSYc1XM8/3, (3*SUSYc1XM1)/16 + (5*SUSYc1XM5)/6 - SUSYc1XM7}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM5","-16075.6982786766528290321408058184009258973970302958824785964365778519339506891881254508799912649908341771559075233968927","(-7*SUSYc1XM1)/6144 + (5*SUSYc1XM5)/384 - SUSYc1XM7/24 - (7*SUSYc1XM9)/24 + (5*SUSYc2XM1)/3072 - (5*SUSYc1XM10*SUSYc2XM1)/3 - (SUSYc1XM2*SUSYc2XM1)/256 + (SUSYc1XM6*SUSYc2XM1)/24 - (SUSYc1XM8*SUSYc2XM1)/12 + (SUSYc1XM1*SUSYc2XM2)/192 + (SUSYc1XM7*SUSYc2XM2)/8 - SUSYc2XM3/768 + (4*SUSYc1XM10*SUSYc2XM3)/3 + (SUSYc1XM2*SUSYc2XM3)/64 - (SUSYc1XM4*SUSYc2XM3)/24 + (SUSYc1XM8*SUSYc2XM3)/3 + (SUSYc1XM1*SUSYc2XM4)/384 - (SUSYc1XM5*SUSYc2XM4)/8 + (2*SUSYc1XM9*SUSYc2XM4)/3 - (5*SUSYc2XM5)/96 + (SUSYc1XM2*SUSYc2XM5)/24 + (SUSYc1XM4*SUSYc2XM5)/12 - (SUSYc1XM6*SUSYc2XM5)/3 - (SUSYc1XM1*SUSYc2XM6)/4 - (2*SUSYc1XM7*SUSYc2XM6)/3 + (5*SUSYc2XM7)/8 - (7*SUSYc1XM2*SUSYc2XM7)/6 + (5*SUSYc1XM4*SUSYc2XM7)/3 - (4*SUSYc1XM6*SUSYc2XM7)/3","{-7/6144 + SUSYc2XM2/192 + SUSYc2XM4/384 - SUSYc2XM6/4, -1/256*SUSYc2XM1 + SUSYc2XM3/64 + SUSYc2XM5/24 - (7*SUSYc2XM7)/6, -1/24*SUSYc2XM3 + SUSYc2XM5/12 + (5*SUSYc2XM7)/3, 5/384 - SUSYc2XM4/8, SUSYc2XM1/24 - SUSYc2XM5/3 - (4*SUSYc2XM7)/3, -1/24 + SUSYc2XM2/8 - (2*SUSYc2XM6)/3, -1/12*SUSYc2XM1 + SUSYc2XM3/3, -7/24 + (2*SUSYc2XM4)/3, (-5*SUSYc2XM1)/3 + (4*SUSYc2XM3)/3, 5/3072 - (5*SUSYc1XM10)/3 - SUSYc1XM2/256 + SUSYc1XM6/24 - SUSYc1XM8/12, SUSYc1XM1/192 + SUSYc1XM7/8, -1/768 + (4*SUSYc1XM10)/3 + SUSYc1XM2/64 - SUSYc1XM4/24 + SUSYc1XM8/3, SUSYc1XM1/384 - SUSYc1XM5/8 + (2*SUSYc1XM9)/3, -5/96 + SUSYc1XM2/24 + SUSYc1XM4/12 - SUSYc1XM6/3, -1/4*SUSYc1XM1 - (2*SUSYc1XM7)/3, 5/8 - (7*SUSYc1XM2)/6 + (5*SUSYc1XM4)/3 - (4*SUSYc1XM6)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM6","-11408.0507507448808272154223547375431404772222474070318750835123889834844563622541755498700235150121194482549190071828918","(-35*SUSYc1XM10)/12 - (7*SUSYc1XM2)/1024 + (5*SUSYc1XM4)/256 + SUSYc1XM6/32 - (7*SUSYc1XM8)/24 - (SUSYc1XM1*SUSYc2XM1)/1024 + (5*SUSYc1XM5*SUSYc2XM1)/96 + (SUSYc1XM7*SUSYc2XM1)/8 - (5*SUSYc1XM9*SUSYc2XM1)/12 + (35*SUSYc2XM2)/3072 + (5*SUSYc1XM10*SUSYc2XM2)/3 - (5*SUSYc1XM2*SUSYc2XM2)/768 - (5*SUSYc1XM4*SUSYc2XM2)/96 + (SUSYc1XM6*SUSYc2XM2)/8 + (5*SUSYc1XM8*SUSYc2XM2)/12 + (29*SUSYc1XM1*SUSYc2XM3)/768 - (SUSYc1XM5*SUSYc2XM3)/8 + (SUSYc1XM7*SUSYc2XM3)/4 + SUSYc1XM9*SUSYc2XM3 - (25*SUSYc2XM4)/768 + (11*SUSYc1XM2*SUSYc2XM4)/96 - (SUSYc1XM4*SUSYc2XM4)/8 - (SUSYc1XM6*SUSYc2XM4)/4 + (SUSYc1XM8*SUSYc2XM4)/3 - (SUSYc1XM1*SUSYc2XM5)/32 - (5*SUSYc1XM5*SUSYc2XM5)/12 - (SUSYc1XM7*SUSYc2XM5)/3 - (15*SUSYc2XM6)/32 + (7*SUSYc1XM2*SUSYc2XM6)/24 + (5*SUSYc1XM4*SUSYc2XM6)/12 - SUSYc1XM6*SUSYc2XM6 - (21*SUSYc1XM1*SUSYc2XM7)/8 - (5*SUSYc1XM5*SUSYc2XM7)/3","{-1/1024*SUSYc2XM1 + (29*SUSYc2XM3)/768 - SUSYc2XM5/32 - (21*SUSYc2XM7)/8, -7/1024 - (5*SUSYc2XM2)/768 + (11*SUSYc2XM4)/96 + (7*SUSYc2XM6)/24, 5/256 - (5*SUSYc2XM2)/96 - SUSYc2XM4/8 + (5*SUSYc2XM6)/12, (5*SUSYc2XM1)/96 - SUSYc2XM3/8 - (5*SUSYc2XM5)/12 - (5*SUSYc2XM7)/3, 1/32 + SUSYc2XM2/8 - SUSYc2XM4/4 - SUSYc2XM6, SUSYc2XM1/8 + SUSYc2XM3/4 - SUSYc2XM5/3, -7/24 + (5*SUSYc2XM2)/12 + SUSYc2XM4/3, (-5*SUSYc2XM1)/12 + SUSYc2XM3, -35/12 + (5*SUSYc2XM2)/3, -1/1024*SUSYc1XM1 + (5*SUSYc1XM5)/96 + SUSYc1XM7/8 - (5*SUSYc1XM9)/12, 35/3072 + (5*SUSYc1XM10)/3 - (5*SUSYc1XM2)/768 - (5*SUSYc1XM4)/96 + SUSYc1XM6/8 + (5*SUSYc1XM8)/12, (29*SUSYc1XM1)/768 - SUSYc1XM5/8 + SUSYc1XM7/4 + SUSYc1XM9, -25/768 + (11*SUSYc1XM2)/96 - SUSYc1XM4/8 - SUSYc1XM6/4 + SUSYc1XM8/3, -1/32*SUSYc1XM1 - (5*SUSYc1XM5)/12 - SUSYc1XM7/3, -15/32 + (7*SUSYc1XM2)/24 + (5*SUSYc1XM4)/12 - SUSYc1XM6, (-21*SUSYc1XM1)/8 - (5*SUSYc1XM5)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM7","-160601.6634701957117497717383396250739070407976754679348651454768585268564683504642223120450214902120627143887143352210741","(-7*SUSYc1XM1)/512 + (5*SUSYc1XM5)/48 - (7*SUSYc1XM9)/6 + (3*SUSYc2XM1)/256 + 2*SUSYc1XM10*SUSYc2XM1 - (5*SUSYc1XM2*SUSYc2XM1)/128 + (SUSYc1XM6*SUSYc2XM1)/4 + (SUSYc1XM8*SUSYc2XM1)/3 + (5*SUSYc1XM1*SUSYc2XM2)/192 + (SUSYc1XM7*SUSYc2XM2)/2 + (4*SUSYc1XM9*SUSYc2XM2)/3 + (19*SUSYc2XM3)/384 + (SUSYc1XM2*SUSYc2XM3)/24 - (SUSYc1XM4*SUSYc2XM3)/4 + (2*SUSYc1XM8*SUSYc2XM3)/3 + (3*SUSYc1XM1*SUSYc2XM4)/16 - (SUSYc1XM5*SUSYc2XM4)/2 - SUSYc2XM5/4 + (7*SUSYc1XM2*SUSYc2XM5)/12 - (SUSYc1XM4*SUSYc2XM5)/3 - (2*SUSYc1XM6*SUSYc2XM5)/3 - (4*SUSYc1XM5*SUSYc2XM6)/3 - (21*SUSYc2XM7)/4 + (14*SUSYc1XM2*SUSYc2XM7)/3 - 2*SUSYc1XM4*SUSYc2XM7","{-7/512 + (5*SUSYc2XM2)/192 + (3*SUSYc2XM4)/16, (-5*SUSYc2XM1)/128 + SUSYc2XM3/24 + (7*SUSYc2XM5)/12 + (14*SUSYc2XM7)/3, -1/4*SUSYc2XM3 - SUSYc2XM5/3 - 2*SUSYc2XM7, 5/48 - SUSYc2XM4/2 - (4*SUSYc2XM6)/3, SUSYc2XM1/4 - (2*SUSYc2XM5)/3, SUSYc2XM2/2, SUSYc2XM1/3 + (2*SUSYc2XM3)/3, -7/6 + (4*SUSYc2XM2)/3, 2*SUSYc2XM1, 3/256 + 2*SUSYc1XM10 - (5*SUSYc1XM2)/128 + SUSYc1XM6/4 + SUSYc1XM8/3, (5*SUSYc1XM1)/192 + SUSYc1XM7/2 + (4*SUSYc1XM9)/3, 19/384 + SUSYc1XM2/24 - SUSYc1XM4/4 + (2*SUSYc1XM8)/3, (3*SUSYc1XM1)/16 - SUSYc1XM5/2, -1/4 + (7*SUSYc1XM2)/12 - SUSYc1XM4/3 - (2*SUSYc1XM6)/3, (-4*SUSYc1XM5)/3, -21/4 + (14*SUSYc1XM2)/3 - 2*SUSYc1XM4}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM8","-43043.9268970863374865653743722359161274916125195288574030892712095884911049869905676040877531534394082156780910015489257","-7/768 + (7*SUSYc1XM10)/3 - (35*SUSYc1XM2)/768 + (5*SUSYc1XM4)/48 + (7*SUSYc1XM6)/24 - (25*SUSYc1XM1*SUSYc2XM1)/768 + (5*SUSYc1XM5*SUSYc2XM1)/24 + (2*SUSYc1XM7*SUSYc2XM1)/3 + (5*SUSYc1XM9*SUSYc2XM1)/3 + (65*SUSYc2XM2)/768 - (5*SUSYc1XM2*SUSYc2XM2)/48 - (5*SUSYc1XM4*SUSYc2XM2)/24 + (SUSYc1XM6*SUSYc2XM2)/3 + SUSYc1XM8*SUSYc2XM2 + (3*SUSYc1XM1*SUSYc2XM3)/16 - (SUSYc1XM5*SUSYc2XM3)/3 + (SUSYc1XM7*SUSYc2XM3)/3 + (3*SUSYc2XM4)/16 + (7*SUSYc1XM2*SUSYc2XM4)/24 - (2*SUSYc1XM4*SUSYc2XM4)/3 - (SUSYc1XM6*SUSYc2XM4)/3 + (7*SUSYc1XM1*SUSYc2XM5)/8 - SUSYc1XM5*SUSYc2XM5 - (7*SUSYc2XM6)/8 + (7*SUSYc1XM2*SUSYc2XM6)/3 - (5*SUSYc1XM4*SUSYc2XM6)/3 + 7*SUSYc1XM1*SUSYc2XM7","{(-25*SUSYc2XM1)/768 + (3*SUSYc2XM3)/16 + (7*SUSYc2XM5)/8 + 7*SUSYc2XM7, -35/768 - (5*SUSYc2XM2)/48 + (7*SUSYc2XM4)/24 + (7*SUSYc2XM6)/3, 5/48 - (5*SUSYc2XM2)/24 - (2*SUSYc2XM4)/3 - (5*SUSYc2XM6)/3, (5*SUSYc2XM1)/24 - SUSYc2XM3/3 - SUSYc2XM5, 7/24 + SUSYc2XM2/3 - SUSYc2XM4/3, (2*SUSYc2XM1)/3 + SUSYc2XM3/3, SUSYc2XM2, (5*SUSYc2XM1)/3, 7/3, (-25*SUSYc1XM1)/768 + (5*SUSYc1XM5)/24 + (2*SUSYc1XM7)/3 + (5*SUSYc1XM9)/3, 65/768 - (5*SUSYc1XM2)/48 - (5*SUSYc1XM4)/24 + SUSYc1XM6/3 + SUSYc1XM8, (3*SUSYc1XM1)/16 - SUSYc1XM5/3 + SUSYc1XM7/3, 3/16 + (7*SUSYc1XM2)/24 - (2*SUSYc1XM4)/3 - SUSYc1XM6/3, (7*SUSYc1XM1)/8 - SUSYc1XM5, -7/8 + (7*SUSYc1XM2)/3 - (5*SUSYc1XM4)/3, 7*SUSYc1XM1}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM9","188515.6283179166966759772264400342758784946172407336517309259540298365862834169112116716886407902113036822774693903370151","(-35*SUSYc1XM1)/384 + (5*SUSYc1XM5)/12 + (2*SUSYc1XM7)/3 + 2*SUSYc1XM9 + (5*SUSYc2XM1)/192 - (5*SUSYc1XM2*SUSYc2XM1)/24 + (2*SUSYc1XM6*SUSYc2XM1)/3 + (4*SUSYc1XM8*SUSYc2XM1)/3 + (2*SUSYc1XM7*SUSYc2XM2)/3 + (3*SUSYc2XM3)/8 - (SUSYc1XM2*SUSYc2XM3)/6 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (3*SUSYc1XM1*SUSYc2XM4)/4 - (2*SUSYc1XM5*SUSYc2XM4)/3 + SUSYc2XM5 + (2*SUSYc1XM2*SUSYc2XM5)/3 - (4*SUSYc1XM4*SUSYc2XM5)/3 + 4*SUSYc1XM1*SUSYc2XM6 + 10*SUSYc2XM7 - (8*SUSYc1XM2*SUSYc2XM7)/3","{-35/384 + (3*SUSYc2XM4)/4 + 4*SUSYc2XM6, (-5*SUSYc2XM1)/24 - SUSYc2XM3/6 + (2*SUSYc2XM5)/3 - (8*SUSYc2XM7)/3, (-2*SUSYc2XM3)/3 - (4*SUSYc2XM5)/3, 5/12 - (2*SUSYc2XM4)/3, (2*SUSYc2XM1)/3, 2/3 + (2*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2, 0, 5/192 - (5*SUSYc1XM2)/24 + (2*SUSYc1XM6)/3 + (4*SUSYc1XM8)/3, (2*SUSYc1XM7)/3, 3/8 - SUSYc1XM2/6 - (2*SUSYc1XM4)/3, (3*SUSYc1XM1)/4 - (2*SUSYc1XM5)/3, 1 + (2*SUSYc1XM2)/3 - (4*SUSYc1XM4)/3, 4*SUSYc1XM1, 10 - (8*SUSYc1XM2)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc1XM10","-167365.2818316752977894438374123131263132806741229587520745181809701256851185038009712257491423438573780965781222897554157","-35/384 - (35*SUSYc1XM2)/192 + (5*SUSYc1XM4)/16 + (11*SUSYc1XM6)/12 + (5*SUSYc1XM8)/3 - (15*SUSYc1XM1*SUSYc2XM1)/64 + (5*SUSYc1XM5*SUSYc2XM1)/12 + SUSYc1XM7*SUSYc2XM1 + (15*SUSYc2XM2)/64 - (25*SUSYc1XM2*SUSYc2XM2)/48 - (5*SUSYc1XM4*SUSYc2XM2)/12 + (SUSYc1XM6*SUSYc2XM2)/3 + (3*SUSYc1XM1*SUSYc2XM3)/16 - (SUSYc1XM5*SUSYc2XM3)/3 + (21*SUSYc2XM4)/16 - (5*SUSYc1XM2*SUSYc2XM4)/12 - SUSYc1XM4*SUSYc2XM4 + (7*SUSYc1XM1*SUSYc2XM5)/4 + (25*SUSYc2XM6)/4 - (7*SUSYc1XM2*SUSYc2XM6)/3 - 3*SUSYc1XM1*SUSYc2XM7","{(-15*SUSYc2XM1)/64 + (3*SUSYc2XM3)/16 + (7*SUSYc2XM5)/4 - 3*SUSYc2XM7, -35/192 - (25*SUSYc2XM2)/48 - (5*SUSYc2XM4)/12 - (7*SUSYc2XM6)/3, 5/16 - (5*SUSYc2XM2)/12 - SUSYc2XM4, (5*SUSYc2XM1)/12 - SUSYc2XM3/3, 11/12 + SUSYc2XM2/3, SUSYc2XM1, 5/3, 0, 0, (-15*SUSYc1XM1)/64 + (5*SUSYc1XM5)/12 + SUSYc1XM7, 15/64 - (25*SUSYc1XM2)/48 - (5*SUSYc1XM4)/12 + SUSYc1XM6/3, (3*SUSYc1XM1)/16 - SUSYc1XM5/3, 21/16 - (5*SUSYc1XM2)/12 - SUSYc1XM4, (7*SUSYc1XM1)/4, 25/4 - (7*SUSYc1XM2)/3, -3*SUSYc1XM1}"
"{{1, 2, 5, 6, 7, 8, 9, 10, 16}, {3, 4, 11, 12, 13, 14, 15}}",500,"SUSYc2XM1","-1.6084863677639258302867856073941670765615477847881549855555471942173121433536538233337267408787680498293961978863493","(-35*SUSYc1XM1)/96 + (5*SUSYc1XM5)/6 + (4*SUSYc1XM7)/3 - (5*SUSYc2XM1)/48 - (5*SUSYc1XM2*SUSYc2XM1)/8 + (2*SUSYc1XM6*SUSYc2XM1)/3 - (5*SUSYc1XM1*SUSYc2XM2)/12 + (19*SUSYc2XM3)/24 - SUSYc1XM2*SUSYc2XM3 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (SUSYc1XM1*SUSYc2XM4)/6 + (10*SUSYc2XM5)/3 - 2*SUSYc1XM2*SUSYc2XM5 - (8*SUSYc1XM1*SUSYc2XM6)/3 - (10*SUSYc2XM7)/3","{-35/96 - (5*SUSYc2XM2)/12 + SUSYc2XM4/6 - (8*SUSYc2XM6)/3, (-5*SUSYc2XM1)/8 - SUSYc2XM3 - 2*SUSYc2XM5, (-2*SUSYc2XM3)/3, 5/6, (2*SUSYc2XM1)/3, 4/3, 0, 0, 0, -5/48 - (5*SUSYc1XM2)/8 + (2*SUSYc1XM6)/3, (-5*SUSYc1XM1)/12, 19/24 - SUSYc1XM2 - (2*SUSYc1XM4)/3, SUSYc1XM1/6, 10/3 - 2*SUSYc1XM2, (-8*SUSYc1XM1)/3, -10/3}"
