var,b_final_value
SUSYc1XM1,6.95714140028348362385486667918070e+00
SUSYc1XM2,2.24524519186485853853188595639810e+01
SUSYc1XM3,1.08992375006769595427165418036010e+01
SUSYc1XM4,-2.41780642216063090566963136782510e+02
SUSYc1XM5,-1.34683726196570714477278376782010e+03
SUSYc1XM6,-4.29337852439775026960126122193410e+03
SUSYc1XM8,-6.60630172446052143241848421082030e+04
SUSYc1XM9,1.32514860317869279229734758371240e+05
SUSYc1XM10,-2.72652674942802616589713625265060e+05
SUSYc1XM11,2.39681752688809222477854664752350e+05
SUSYc1XM12,-1.06883248657624367959301207511100e+05
SUSYc2XM1,-5.21785605021261271789115000938550e+00
SUSYc2XM2,1.57608085378148708287917970756690e+01
SUSYc2XM3,-2.66576355932708264105596874426660e+01
SUSYc2XM4,2.58072292639196275661001934167660e+01
SUSYc2XM5,-1.08800466719061721451681532046140e+01
