var,b_final_value
SUSYc1XM1,6.95714140028348362385486667922490e+00
SUSYc1XM2,2.24524519186485853853188595642460e+01
SUSYc1XM3,1.08992375006769595427165418039170e+01
SUSYc1XM4,-2.41780642216063090566963136787050e+02
SUSYc1XM5,-1.34683726196570714477278376785320e+03
SUSYc1XM6,-4.29337852439775026960126122206010e+03
SUSYc1XM8,-6.60630172446052143241848421107880e+04
SUSYc1XM9,1.32514860317869279229734758377340e+05
SUSYc1XM10,-2.72652674942802616589713625278910e+05
SUSYc1XM11,2.39681752688809222477854664765900e+05
SUSYc1XM12,-1.06883248657624367959301207516480e+05
SUSYc2XM1,-5.21785605021261271789115000941710e+00
SUSYc2XM2,1.57608085378148708287917970758520e+01
SUSYc2XM3,-2.66576355932708264105596874431460e+01
SUSYc2XM4,2.58072292639196275661001934173590e+01
SUSYc2XM5,-1.08800466719061721451681532047910e+01
